0, 12, 4632161517.49, 6817510.40992, 12533171.0222, 1105843215.86, 1745157015.61
1, 12, 10493706.7399, 6817510.40992, 9282426.72107, 9088332.68933, 1177505.15678
2, 12, 8632698.9953, 6194899.95851, 7624517.63336, 7501573.4861, 659911.977329
3, 12, 6839008.79805, 5393048.57185, 6486610.58745, 6434837.83082, 405082.292892
4, 12, 6308553.48008, 5115744.39167, 6126817.12191, 5888410.27404, 444505.07059
5, 12, 5978509.15632, 4919780.23423, 5351011.18467, 5413909.0571, 317280.980955
6, 12, 5344335.11885, 4497740.95602, 5064363.43777, 5091620.0114, 236145.956285
7, 12, 5114930.69191, 4103446.47589, 4960207.78127, 4809696.2404, 327767.336121
8, 12, 4680217.54107, 4098559.33303, 4382359.50896, 4373417.6693, 175166.561861
9, 12, 4343108.11312, 4098559.33303, 4226254.79912, 4229351.21862, 86918.2078568
10, 12, 5961912.87707, 3907891.37718, 4181695.26781, 4489549.1586, 652796.595875
11, 12, 4533836.21683, 3907891.37718, 4158417.47365, 4188544.45392, 190405.556715
12, 12, 4182567.68692, 3786631.3277, 3989851.70603, 3985377.63893, 108993.442066
13, 12, 3879196.77712, 3738740.65579, 3840479.4628, 3832379.97104, 43607.0016777
14, 12, 3841527.25364, 3738740.65579, 3820293.29981, 3803205.58396, 33199.0634229
15, 12, 3798999.61812, 3445801.13957, 3770225.82802, 3747163.59949, 92676.3734762
16, 12, 4458596.07951, 3445801.13957, 3744726.98977, 3869499.79513, 346281.345854
